num_doc,tipo_cliente,grupo_riesgo
4818969865.0,objetivo,t4
34013060733.0,adicion,t3
57507833780.0,adicion,t6
82457273634.0,objetivo,t4
131692811268.0,objetivo,t5
167118855101.0,objetivo,t6
196110644672.0,adicion,t5
206451712658.0,objetivo,t5
231378447543.0,objetivo,t6
232667074294.0,objetivo,t6
307212002388.0,objetivo,t5
318690633652.0,adicion,t3
323508499275.0,adicion,t5
361643945835.0,adicion,t6
427982200599.0,adicion,t6
448280879946.0,objetivo,t7
455855849261.0,objetivo,t7
481687685176.0,adicion,t7
523312217419.0,objetivo,t5
570270457383.0,objetivo,t6
582523903376.0,adicion,t6
593471259844.0,objetivo,t3
595633539012.0,objetivo,t6
634000126408.0,adicion,t5
656696644016.0,adicion,t7
685630229863.0,objetivo,t7
705670357659.0,objetivo,t6
718828713476.0,objetivo,t3
720757214544.0,objetivo,t5
726208810834.0,objetivo,t5
727992151293.0,objetivo,t6
800971627126.0,adicion,t2
910653031986.0,adicion,t6
915286525636.0,adicion,t4
924460364311.0,objetivo,t5
927796685671.0,adicion,t6
12706519882.0,objetivo,t5
55515967000.0,objetivo,t6
63562700018.0,objetivo,t5
103129151534.0,objetivo,t4
131454584930.0,adicion,t5
135245096834.0,objetivo,t6
137846062978.0,objetivo,t6
177934668953.0,adicion,t5
240000363294.0,objetivo,t5
253014693859.0,objetivo,t5
267639516118.0,objetivo,t7
305425406425.0,adicion,t1
355639322275.0,adicion,t4
398285969179.0,adicion,t4
411498917592.0,adicion,t6
458853217062.0,objetivo,t5
489891910620.0,adicion,t5
501311439200.0,objetivo,t7
580431192360.0,adicion,t6
600044632019.0,objetivo,t5
608876035496.0,adicion,t4
615486209571.0,objetivo,t5
664216550425.0,adicion,t6
731792906269.0,adicion,t5
764275749830.0,adicion,t4
806881843969.0,objetivo,t7
811239381751.0,objetivo,t6
822883890184.0,objetivo,t3
840268673101.0,objetivo,t3
843341597440.0,adicion,t5
856757690427.0,adicion,t2
859919698235.0,objetivo,t7
864898622539.0,objetivo,t5
908821497391.0,adicion,t5
926085183742.0,adicion,t2
939744617961.0,adicion,t5
955921273583.0,adicion,t1
965329434952.0,objetivo,t5
20717559550.0,objetivo,t5
51482228929.0,objetivo,t6
89383893257.0,objetivo,t5
192240158236.0,objetivo,t6
194130742932.0,adicion,t7
226204637245.0,objetivo,t6
268641720402.0,objetivo,t7
274479076252.0,objetivo,t5
368121189655.0,objetivo,t6
396631201442.0,objetivo,t6
402112744679.0,adicion,t5
482926227579.0,adicion,t5
505681425502.0,adicion,t5
507389345338.0,adicion,t5
507738840394.0,objetivo,t6
515539085642.0,adicion,t6
526841910709.0,objetivo,t5
540629315824.0,adicion,t7
610405971846.0,objetivo,t6
620757590238.0,adicion,t6
625953255512.0,objetivo,t6
643031215780.0,objetivo,t1
716458831487.0,objetivo,t1
751739312409.0,adicion,t5
772902402627.0,adicion,t6
